feature_set,model,auc_mean,auc_std,f1_mean,f1_std
Combined,GradientBoosting,0.9983830760847953,0.0003962660432948047,0.9774973940485143,0.005392591826461591
Combined,RandomForest,0.9985556392228899,0.0002799704029998901,0.9798374827852576,0.003948547550062836
Combined,XGBoost,0.9989021970317603,0.00023817913787106297,0.9804144134878026,0.0038555684944876598
Gaze_only,GradientBoosting,0.9983865317156304,0.00038624556700974955,0.9775400742969232,0.005291825043766017
Gaze_only,RandomForest,0.9979643999740293,0.000249081897354064,0.9795832872695105,0.004044447286340454
Gaze_only,XGBoost,0.9988909617612013,0.0002441567741143816,0.9805982163467825,0.0033630439979836653
Lexical_only,GradientBoosting,0.6432573874454158,0.010873121405439643,0.07510112961992255,0.024967935790839484
Lexical_only,RandomForest,0.6430462271806735,0.01064213249054615,0.4254073364547025,0.0747345626437236
Lexical_only,XGBoost,0.6432341256971743,0.010633991713239392,0.07245825454532384,0.023695433307761436
